song_id,title,year,album,cluster,pca_x,pca_y
143,את ואני,1975,את ואני,0,-1.332415,-0.77015126
144,את הלכת,1975,את ואני,0,-2.1852129,-1.2619501
145,עכשיו את מבוגרת להבין,1975,את ואני,0,-2.1098435,-0.45235324
146,שיר אהבה אחרון,1975,את ואני,0,-2.1015143,-0.8213703
147,הריקוד האחרון של 1956,1975,את ואני,0,-2.061953,-0.70491284
148,היי ליזה,1975,את ואני,0,-0.951647,-1.3810002
149,פעם אהבתי אותך,1975,את ואני,0,-2.847816,-1.049592
150,אליל העשרה,1975,את ואני,1,-1.9371488,1.315774
151,דברים,1975,את ואני,0,-2.096068,-0.11556682
152,מתחת למיטה,1975,את ואני,0,-2.2259092,-0.4429381
153,יוסי בן עשרים ושש,1975,משחקי 26,0,-1.6849892,-1.0820228
154,שיר התנועה,1975,משחקי 26,0,-2.2160404,-0.8288133
155,מנגן ושר,1975,משחקי 26,1,-2.5230522,0.9337716
156,החברים הישנים,1975,משחקי 26,2,0.050595067,0.7989745
157,בואו נשחק משחק,1975,משחקי 26,1,-1.5716202,0.113105856
158,הבלדה על אפרים,1975,משחקי 26,1,-1.5128978,0.7816577
159,שיר אהבה,1975,משחקי 26,1,-1.3438933,1.8535538
160,המציל,1975,משחקי 26,1,-2.3453817,-0.4681358
161,המזדנבות,1975,משחקי 26,2,0.5451861,0.33879763
162,שיר על ילד מפורסם,1975,משחקי 26,1,-0.62584156,-0.35888672
163,עזרא ובוקובזה,1975,משחקי 26,2,-0.038653117,0.476898
164,משחקי 26,1975,משחקי 26,1,-0.55377734,1.6486869
165,מרקו,1970,שלמה ארצי,2,0.72302896,0.28467175
166,האם עודך יפה,1970,שלמה ארצי,1,-2.5539706,0.4845608
167,רק זיכרון אחד,1970,שלמה ארצי,1,-0.6376137,0.9908449
168,זה העולם,1970,שלמה ארצי,1,-1.1978742,0.6674295
169,הנסיעה הנפלאה,1970,שלמה ארצי,2,0.16359203,0.8608537
170,פתאום עכשיו פתאום היום,1970,שלמה ארצי,2,0.7407369,0.042758066
171,האם השלישית,1970,שלמה ארצי,2,0.6185174,1.1139737
172,יותר מזה אנחנו לא צריכים,1970,שלמה ארצי,2,0.019018495,0.60463095
173,נח״ל ים,1970,שלמה ארצי,1,-1.907178,0.5801424
174,תפילת ערבית,1970,שלמה ארצי,2,1.3913703,0.09266522
175,שיר קיץ,1970,שלמה ארצי,2,1.3152891,-0.37714708
176,בלדה על לבן בן בתואל,1970,שלמה ארצי,2,0.4685562,0.8065942
